Total number of parameters: 5,468,282
{'epoch': 1, 'train_loss': 0.1175048462835451, 'self': '0.00341', 'value': '0.02797', 'legal': '0.04555', 'avs': '0.04058', 'val_loss': 0.0500473094126973, 'val_self': '0.00006', 'val_value': '0.01739', 'val_legal': '0.00866', 'val_avs': '0.02394', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.03928349403416117, 'self': '0.00003', 'value': '0.01592', 'legal': '0.00533', 'avs': '0.01800', 'val_loss': 0.028103103727621377, 'val_self': '0.00001', 'val_value': '0.01109', 'val_legal': '0.00309', 'val_avs': '0.01391', 'lr': '0.00039', 'step': 6000}
{'epoch': 3, 'train_loss': 0.02440612929438551, 'self': '0.00001', 'value': '0.01079', 'legal': '0.00158', 'avs': '0.01203', 'val_loss': 0.0204891833156103, 'val_self': '0.00000', 'val_value': '0.00882', 'val_legal': '0.00076', 'val_avs': '0.01090', 'lr': '0.00039', 'step': 9000}
{'epoch': 4, 'train_loss': 0.01929498285924395, 'self': '0.00000', 'value': '0.00892', 'legal': '0.00052', 'avs': '0.00985', 'val_loss': 0.017157651518364667, 'val_self': '0.00000', 'val_value': '0.00757', 'val_legal': '0.00035', 'val_avs': '0.00923', 'lr': '0.00039', 'step': 12000}
{'epoch': 5, 'train_loss': 0.016770841723618406, 'self': '0.00000', 'value': '0.00787', 'legal': '0.00031', 'avs': '0.00860', 'val_loss': 0.015286394226990763, 'val_self': '0.00000', 'val_value': '0.00683', 'val_legal': '0.00022', 'val_avs': '0.00823', 'lr': '0.00039', 'step': 15000}
{'epoch': 6, 'train_loss': 0.015356855476585527, 'self': '0.00000', 'value': '0.00725', 'legal': '0.00022', 'avs': '0.00789', 'val_loss': 0.014070416130812564, 'val_self': '0.00000', 'val_value': '0.00628', 'val_legal': '0.00017', 'val_avs': '0.00762', 'lr': '0.00038', 'step': 18000}
{'epoch': 7, 'train_loss': 0.01390940711647272, 'self': '0.00000', 'value': '0.00658', 'legal': '0.00016', 'avs': '0.00717', 'val_loss': 0.013559743523460309, 'val_self': '0.00000', 'val_value': '0.00620', 'val_legal': '0.00014', 'val_avs': '0.00722', 'lr': '0.00038', 'step': 21000}
{'epoch': 8, 'train_loss': 0.013551991110357145, 'self': '0.00000', 'value': '0.00645', 'legal': '0.00014', 'avs': '0.00696', 'val_loss': 0.012452464930514698, 'val_self': '0.00000', 'val_value': '0.00561', 'val_legal': '0.00012', 'val_avs': '0.00672', 'lr': '0.00038', 'step': 24000}
{'epoch': 9, 'train_loss': 0.012523822564942142, 'self': '0.00000', 'value': '0.00596', 'legal': '0.00011', 'avs': '0.00646', 'val_loss': 0.01206222972183748, 'val_self': '0.00000', 'val_value': '0.00542', 'val_legal': '0.00010', 'val_avs': '0.00654', 'lr': '0.00037', 'step': 27000}
{'epoch': 10, 'train_loss': 0.012031203016638755, 'self': '0.00000', 'value': '0.00573', 'legal': '0.00010', 'avs': '0.00620', 'val_loss': 0.011571364545980926, 'val_self': '0.00000', 'val_value': '0.00527', 'val_legal': '0.00008', 'val_avs': '0.00622', 'lr': '0.00037', 'step': 30000}
{'epoch': 11, 'train_loss': 0.011577285842349131, 'self': '0.00000', 'value': '0.00553', 'legal': '0.00008', 'avs': '0.00597', 'val_loss': 0.011103509931031187, 'val_self': '0.00000', 'val_value': '0.00506', 'val_legal': '0.00007', 'val_avs': '0.00597', 'lr': '0.00037', 'step': 33000}
