Total number of parameters: 5,364,256
{'epoch': 1, 'train_loss': 0.03107086480719348, 'self': '0.00325', 'value': '0.02782', 'val_loss': 0.018814014438845096, 'val_self': '0.00002', 'val_value': '0.01879', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.01926264251054575, 'self': '0.00001', 'value': '0.01925', 'val_loss': 0.016978095728354375, 'val_self': '0.00001', 'val_value': '0.01697', 'lr': '0.00039', 'step': 6000}
{'epoch': 3, 'train_loss': 0.017402291169079643, 'self': '0.00001', 'value': '0.01740', 'val_loss': 0.014827266020593463, 'val_self': '0.00000', 'val_value': '0.01482', 'lr': '0.00039', 'step': 9000}
{'epoch': 4, 'train_loss': 0.015619604951081176, 'self': '0.00000', 'value': '0.01562', 'val_loss': 0.013500034032374254, 'val_self': '0.00000', 'val_value': '0.01350', 'lr': '0.00039', 'step': 12000}
{'epoch': 5, 'train_loss': 0.014076347830084462, 'self': '0.00000', 'value': '0.01407', 'val_loss': 0.012236718571225762, 'val_self': '0.00000', 'val_value': '0.01224', 'lr': '0.00039', 'step': 15000}
{'epoch': 6, 'train_loss': 0.012670921409813067, 'self': '0.00000', 'value': '0.01267', 'val_loss': 0.010810991731991411, 'val_self': '0.00000', 'val_value': '0.01081', 'lr': '0.00038', 'step': 18000}
{'epoch': 7, 'train_loss': 0.011179071938308577, 'self': '0.00000', 'value': '0.01118', 'val_loss': 0.009859930445272171, 'val_self': '0.00000', 'val_value': '0.00986', 'lr': '0.00038', 'step': 21000}
{'epoch': 8, 'train_loss': 0.009938560547462354, 'self': '0.00000', 'value': '0.00994', 'val_loss': 0.008780161330102348, 'val_self': '0.00000', 'val_value': '0.00878', 'lr': '0.00038', 'step': 24000}
{'epoch': 9, 'train_loss': 0.009157933712626498, 'self': '0.00000', 'value': '0.00916', 'val_loss': 0.008302524747884238, 'val_self': '0.00000', 'val_value': '0.00830', 'lr': '0.00037', 'step': 27000}
{'epoch': 10, 'train_loss': 0.008489301351364702, 'self': '0.00000', 'value': '0.00849', 'val_loss': 0.007762815403469578, 'val_self': '0.00000', 'val_value': '0.00776', 'lr': '0.00037', 'step': 30000}
{'epoch': 11, 'train_loss': 0.007849624214073023, 'self': '0.00000', 'value': '0.00785', 'val_loss': 0.007183454459395687, 'val_self': '0.00000', 'val_value': '0.00718', 'lr': '0.00037', 'step': 33000}
{'epoch': 12, 'train_loss': 0.007650434638373554, 'self': '0.00000', 'value': '0.00765', 'val_loss': 0.006646012418834706, 'val_self': '0.00000', 'val_value': '0.00665', 'lr': '0.00036', 'step': 36000}
{'epoch': 13, 'train_loss': 0.006996631540047626, 'self': '0.00000', 'value': '0.00700', 'val_loss': 0.006612535165317479, 'val_self': '0.00000', 'val_value': '0.00661', 'lr': '0.00036', 'step': 39000}
{'epoch': 14, 'train_loss': 0.006877482824493199, 'self': '0.00000', 'value': '0.00688', 'val_loss': 0.0064047223842534865, 'val_self': '0.00000', 'val_value': '0.00640', 'lr': '0.00036', 'step': 42000}
{'epoch': 15, 'train_loss': 0.006435346932616085, 'self': '0.00000', 'value': '0.00644', 'val_loss': 0.0058835919747953535, 'val_self': '0.00000', 'val_value': '0.00588', 'lr': '0.00036', 'step': 45000}
{'epoch': 16, 'train_loss': 0.00624723301967606, 'self': '0.00000', 'value': '0.00625', 'val_loss': 0.005742653839855043, 'val_self': '0.00000', 'val_value': '0.00574', 'lr': '0.00035', 'step': 48000}
{'epoch': 17, 'train_loss': 0.006037815857523432, 'self': '0.00000', 'value': '0.00604', 'val_loss': 0.005609418140518189, 'val_self': '0.00000', 'val_value': '0.00561', 'lr': '0.00035', 'step': 51000}
{'epoch': 18, 'train_loss': 0.006062200238772978, 'self': '0.00000', 'value': '0.00606', 'val_loss': 0.005413862403298988, 'val_self': '0.00000', 'val_value': '0.00541', 'lr': '0.00035', 'step': 54000}
{'epoch': 19, 'train_loss': 0.005674877271211395, 'self': '0.00000', 'value': '0.00567', 'val_loss': 0.0054356225663185365, 'val_self': '0.00000', 'val_value': '0.00544', 'lr': '0.00034', 'step': 57000}
{'epoch': 20, 'train_loss': 0.005581332837076237, 'self': '0.00000', 'value': '0.00558', 'val_loss': 0.005219462837214719, 'val_self': '0.00000', 'val_value': '0.00522', 'lr': '0.00034', 'step': 60000}
{'epoch': 21, 'train_loss': 0.005465527292496214, 'self': '0.00000', 'value': '0.00547', 'val_loss': 0.005038538017333103, 'val_self': '0.00000', 'val_value': '0.00504', 'lr': '0.00034', 'step': 63000}
{'epoch': 22, 'train_loss': 0.005489417215809226, 'self': '0.00000', 'value': '0.00549', 'val_loss': 0.008063291244353855, 'val_self': '0.00000', 'val_value': '0.00806', 'lr': '0.00033', 'step': 66000}
{'epoch': 23, 'train_loss': 0.005210510509554297, 'self': '0.00000', 'value': '0.00521', 'val_loss': 0.004939036587917353, 'val_self': '0.00000', 'val_value': '0.00494', 'lr': '0.00033', 'step': 69000}
{'epoch': 24, 'train_loss': 0.0051207381083319585, 'self': '0.00000', 'value': '0.00512', 'val_loss': 0.004802104287502188, 'val_self': '0.00000', 'val_value': '0.00480', 'lr': '0.00033', 'step': 72000}
{'epoch': 25, 'train_loss': 0.005025081555359066, 'self': '0.00000', 'value': '0.00502', 'val_loss': 0.004665034140372405, 'val_self': '0.00000', 'val_value': '0.00466', 'lr': '0.00032', 'step': 75000}
{'epoch': 26, 'train_loss': 0.0049423366719080755, 'self': '0.00000', 'value': '0.00494', 'val_loss': 0.004628703902288508, 'val_self': '0.00000', 'val_value': '0.00463', 'lr': '0.00032', 'step': 78000}
{'epoch': 27, 'train_loss': 0.004986653805167104, 'self': '0.00000', 'value': '0.00499', 'val_loss': 0.004429571707942905, 'val_self': '0.00000', 'val_value': '0.00443', 'lr': '0.00032', 'step': 81000}
{'epoch': 28, 'train_loss': 0.0047432720225770025, 'self': '0.00000', 'value': '0.00474', 'val_loss': 0.004433525400331671, 'val_self': '0.00000', 'val_value': '0.00443', 'lr': '0.00032', 'step': 84000}
{'epoch': 29, 'train_loss': 0.004818269814131781, 'self': '0.00000', 'value': '0.00482', 'val_loss': 0.0044119994377442556, 'val_self': '0.00000', 'val_value': '0.00441', 'lr': '0.00031', 'step': 87000}
{'epoch': 30, 'train_loss': 0.00461202554909202, 'self': '0.00000', 'value': '0.00461', 'val_loss': 0.00432443537569956, 'val_self': '0.00000', 'val_value': '0.00432', 'lr': '0.00031', 'step': 90000}
{'epoch': 31, 'train_loss': 0.004557511275323728, 'self': '0.00000', 'value': '0.00456', 'val_loss': 0.0042245901226959206, 'val_self': '0.00000', 'val_value': '0.00422', 'lr': '0.00031', 'step': 93000}
{'epoch': 32, 'train_loss': 0.0045072740969869, 'self': '0.00000', 'value': '0.00451', 'val_loss': 0.004224551180816546, 'val_self': '0.00000', 'val_value': '0.00422', 'lr': '0.00030', 'step': 96000}
{'epoch': 33, 'train_loss': 0.004597843212153141, 'self': '0.00000', 'value': '0.00460', 'val_loss': 0.004182562444809457, 'val_self': '0.00000', 'val_value': '0.00418', 'lr': '0.00030', 'step': 99000}
{'epoch': 34, 'train_loss': 0.0043715043666306885, 'self': '0.00000', 'value': '0.00437', 'val_loss': 0.004130202783061741, 'val_self': '0.00000', 'val_value': '0.00413', 'lr': '0.00030', 'step': 102000}
{'epoch': 35, 'train_loss': 0.004349688691009457, 'self': '0.00000', 'value': '0.00435', 'val_loss': 0.004083343896991955, 'val_self': '0.00000', 'val_value': '0.00408', 'lr': '0.00030', 'step': 105000}
{'epoch': 36, 'train_loss': 0.004290227352563913, 'self': '0.00000', 'value': '0.00429', 'val_loss': 0.0040675342339663535, 'val_self': '0.00000', 'val_value': '0.00407', 'lr': '0.00029', 'step': 108000}
