Total number of parameters: 5,364,256
{'epoch': 1, 'train_loss': 0.0330169346028318, 'self': '0.00375', 'value': '0.02927', 'val_loss': 0.01788599907848068, 'val_self': '0.00003', 'val_value': '0.01786', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.018353154581661025, 'self': '0.00002', 'value': '0.01834', 'val_loss': 0.01648850890342146, 'val_self': '0.00001', 'val_value': '0.01648', 'lr': '0.00039', 'step': 6000}
{'epoch': 3, 'train_loss': 0.016716844806137183, 'self': '0.00001', 'value': '0.01671', 'val_loss': 0.014685261059460825, 'val_self': '0.00000', 'val_value': '0.01468', 'lr': '0.00039', 'step': 9000}
{'epoch': 4, 'train_loss': 0.015104821265364686, 'self': '0.00000', 'value': '0.01510', 'val_loss': 0.013386229329864632, 'val_self': '0.00000', 'val_value': '0.01338', 'lr': '0.00039', 'step': 12000}
{'epoch': 5, 'train_loss': 0.01411799372980992, 'self': '0.00000', 'value': '0.01412', 'val_loss': 0.012364310910925269, 'val_self': '0.00000', 'val_value': '0.01236', 'lr': '0.00039', 'step': 15000}
{'epoch': 6, 'train_loss': 0.013022840436237554, 'self': '0.00000', 'value': '0.01302', 'val_loss': 0.011528022388820766, 'val_self': '0.00000', 'val_value': '0.01153', 'lr': '0.00038', 'step': 18000}
{'epoch': 7, 'train_loss': 0.012103503509114186, 'self': '0.00000', 'value': '0.01210', 'val_loss': 0.010715722541523273, 'val_self': '0.00000', 'val_value': '0.01072', 'lr': '0.00038', 'step': 21000}
{'epoch': 8, 'train_loss': 0.01115770693682134, 'self': '0.00000', 'value': '0.01116', 'val_loss': 0.01006848492934445, 'val_self': '0.00000', 'val_value': '0.01007', 'lr': '0.00038', 'step': 24000}
{'epoch': 9, 'train_loss': 0.010352946853886049, 'self': '0.00000', 'value': '0.01035', 'val_loss': 0.009304221920844655, 'val_self': '0.00000', 'val_value': '0.00930', 'lr': '0.00037', 'step': 27000}
{'epoch': 10, 'train_loss': 0.009680993459497888, 'self': '0.00000', 'value': '0.00968', 'val_loss': 0.008699224779924348, 'val_self': '0.00000', 'val_value': '0.00870', 'lr': '0.00037', 'step': 30000}
{'epoch': 11, 'train_loss': 0.009156552588877579, 'self': '0.00000', 'value': '0.00916', 'val_loss': 0.008479198923746704, 'val_self': '0.00000', 'val_value': '0.00848', 'lr': '0.00037', 'step': 33000}
{'epoch': 12, 'train_loss': 0.008622525572621574, 'self': '0.00000', 'value': '0.00862', 'val_loss': 0.008002952363372583, 'val_self': '0.00000', 'val_value': '0.00800', 'lr': '0.00036', 'step': 36000}
{'epoch': 13, 'train_loss': 0.008215736756256472, 'self': '0.00000', 'value': '0.00822', 'val_loss': 0.007585830441637911, 'val_self': '0.00000', 'val_value': '0.00759', 'lr': '0.00036', 'step': 39000}
{'epoch': 14, 'train_loss': 0.007862884781478594, 'self': '0.00000', 'value': '0.00786', 'val_loss': 0.007228497673421487, 'val_self': '0.00000', 'val_value': '0.00723', 'lr': '0.00036', 'step': 42000}
{'epoch': 15, 'train_loss': 0.007563160710191975, 'self': '0.00000', 'value': '0.00756', 'val_loss': 0.0070385409988554535, 'val_self': '0.00000', 'val_value': '0.00704', 'lr': '0.00036', 'step': 45000}
{'epoch': 16, 'train_loss': 0.007236763297890623, 'self': '0.00000', 'value': '0.00724', 'val_loss': 0.006665798926107647, 'val_self': '0.00000', 'val_value': '0.00667', 'lr': '0.00035', 'step': 48000}
{'epoch': 17, 'train_loss': 0.006931107721601923, 'self': '0.00000', 'value': '0.00693', 'val_loss': 0.006360151856511709, 'val_self': '0.00000', 'val_value': '0.00636', 'lr': '0.00035', 'step': 51000}
{'epoch': 18, 'train_loss': 0.00666400686170285, 'self': '0.00000', 'value': '0.00666', 'val_loss': 0.006321286970604455, 'val_self': '0.00000', 'val_value': '0.00632', 'lr': '0.00035', 'step': 54000}
{'epoch': 19, 'train_loss': 0.006433296378236264, 'self': '0.00000', 'value': '0.00643', 'val_loss': 0.006210306065813562, 'val_self': '0.00000', 'val_value': '0.00621', 'lr': '0.00034', 'step': 57000}
{'epoch': 20, 'train_loss': 0.006250479708736142, 'self': '0.00000', 'value': '0.00625', 'val_loss': 0.0057739198349080366, 'val_self': '0.00000', 'val_value': '0.00577', 'lr': '0.00034', 'step': 60000}
{'epoch': 21, 'train_loss': 0.006097660249875237, 'self': '0.00000', 'value': '0.00610', 'val_loss': 0.005638225591878911, 'val_self': '0.00000', 'val_value': '0.00564', 'lr': '0.00034', 'step': 63000}
{'epoch': 22, 'train_loss': 0.0058838959378190335, 'self': '0.00000', 'value': '0.00588', 'val_loss': 0.005567539713276764, 'val_self': '0.00000', 'val_value': '0.00557', 'lr': '0.00033', 'step': 66000}
{'epoch': 23, 'train_loss': 0.005740965882626673, 'self': '0.00000', 'value': '0.00574', 'val_loss': 0.005303936527629734, 'val_self': '0.00000', 'val_value': '0.00530', 'lr': '0.00033', 'step': 69000}
{'epoch': 24, 'train_loss': 0.00559709744170929, 'self': '0.00000', 'value': '0.00560', 'val_loss': 0.005270889856218986, 'val_self': '0.00000', 'val_value': '0.00527', 'lr': '0.00033', 'step': 72000}
{'epoch': 25, 'train_loss': 0.005769688947747151, 'self': '0.00031', 'value': '0.00546', 'val_loss': 0.0050240131104594, 'val_self': '0.00000', 'val_value': '0.00502', 'lr': '0.00032', 'step': 75000}
{'epoch': 26, 'train_loss': 0.005329541884207477, 'self': '0.00000', 'value': '0.00533', 'val_loss': 0.0050690243093174745, 'val_self': '0.00000', 'val_value': '0.00507', 'lr': '0.00032', 'step': 78000}
{'epoch': 27, 'train_loss': 0.005255499435899158, 'self': '0.00000', 'value': '0.00526', 'val_loss': 0.0049892538379816736, 'val_self': '0.00000', 'val_value': '0.00499', 'lr': '0.00032', 'step': 81000}
{'epoch': 28, 'train_loss': 0.005182108400622383, 'self': '0.00000', 'value': '0.00518', 'val_loss': 0.004850330107013283, 'val_self': '0.00000', 'val_value': '0.00485', 'lr': '0.00032', 'step': 84000}
{'epoch': 29, 'train_loss': 0.005058819988121589, 'self': '0.00000', 'value': '0.00506', 'val_loss': 0.0049076459230282575, 'val_self': '0.00000', 'val_value': '0.00491', 'lr': '0.00031', 'step': 87000}
{'epoch': 30, 'train_loss': 0.00497568560213161, 'self': '0.00000', 'value': '0.00498', 'val_loss': 0.004702418567860866, 'val_self': '0.00000', 'val_value': '0.00470', 'lr': '0.00031', 'step': 90000}
