Total number of parameters: 6,915,616
{'epoch': 1, 'train_loss': 0.029833820121983688, 'self': '0.00285', 'value': '0.02699', 'val_loss': 0.018215553701443017, 'val_self': '0.00002', 'val_value': '0.01819', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.01803845699938635, 'self': '0.00001', 'value': '0.01803', 'val_loss': 0.015892524690153537, 'val_self': '0.00001', 'val_value': '0.01589', 'lr': '0.00040', 'step': 6000}
{'epoch': 3, 'train_loss': 0.017985037617074946, 'self': '0.00048', 'value': '0.01751', 'val_loss': 0.014892104682970609, 'val_self': '0.00001', 'val_value': '0.01489', 'lr': '0.00040', 'step': 9000}
{'epoch': 4, 'train_loss': 0.014857015825808048, 'self': '0.00000', 'value': '0.01485', 'val_loss': 0.012631803911301445, 'val_self': '0.00000', 'val_value': '0.01263', 'lr': '0.00040', 'step': 12000}
{'epoch': 5, 'train_loss': 0.013158852514810861, 'self': '0.00000', 'value': '0.01316', 'val_loss': 0.011507057403519627, 'val_self': '0.00000', 'val_value': '0.01151', 'lr': '0.00040', 'step': 15000}
{'epoch': 6, 'train_loss': 0.01171994886857768, 'self': '0.00000', 'value': '0.01172', 'val_loss': 0.01044169198874323, 'val_self': '0.00000', 'val_value': '0.01044', 'lr': '0.00040', 'step': 18000}
{'epoch': 7, 'train_loss': 0.010703494288337728, 'self': '0.00000', 'value': '0.01070', 'val_loss': 0.009898729378082713, 'val_self': '0.00000', 'val_value': '0.00990', 'lr': '0.00040', 'step': 21000}
{'epoch': 8, 'train_loss': 0.010531172041781247, 'self': '0.00000', 'value': '0.01053', 'val_loss': 0.009294862781658952, 'val_self': '0.00000', 'val_value': '0.00929', 'lr': '0.00040', 'step': 24000}
{'epoch': 9, 'train_loss': 0.009741357192241897, 'self': '0.00000', 'value': '0.00974', 'val_loss': 0.008705026130420996, 'val_self': '0.00000', 'val_value': '0.00870', 'lr': '0.00040', 'step': 27000}
{'epoch': 10, 'train_loss': 0.009605720661891004, 'self': '0.00000', 'value': '0.00960', 'val_loss': 0.00925074006167439, 'val_self': '0.00000', 'val_value': '0.00925', 'lr': '0.00040', 'step': 30000}
{'epoch': 11, 'train_loss': 0.008859428481819729, 'self': '0.00000', 'value': '0.00886', 'val_loss': 0.007887004499636651, 'val_self': '0.00000', 'val_value': '0.00789', 'lr': '0.00040', 'step': 33000}
{'epoch': 12, 'train_loss': 0.008841481742293884, 'self': '0.00000', 'value': '0.00884', 'val_loss': 0.007898222114012927, 'val_self': '0.00000', 'val_value': '0.00790', 'lr': '0.00040', 'step': 36000}
{'epoch': 13, 'train_loss': 0.00867462211397166, 'self': '0.00008', 'value': '0.00859', 'val_loss': 0.007917691093724465, 'val_self': '0.00000', 'val_value': '0.00792', 'lr': '0.00040', 'step': 39000}
{'epoch': 14, 'train_loss': 0.008628980413389702, 'self': '0.00000', 'value': '0.00863', 'val_loss': 0.007910015787662114, 'val_self': '0.00000', 'val_value': '0.00791', 'lr': '0.00040', 'step': 42000}
{'epoch': 15, 'train_loss': 0.007930829646065831, 'self': '0.00000', 'value': '0.00793', 'val_loss': 0.007107567193833959, 'val_self': '0.00000', 'val_value': '0.00711', 'lr': '0.00040', 'step': 45000}
{'epoch': 16, 'train_loss': 0.007481788029739012, 'self': '0.00000', 'value': '0.00748', 'val_loss': 0.006873436020229195, 'val_self': '0.00000', 'val_value': '0.00687', 'lr': '0.00040', 'step': 48000}
{'epoch': 17, 'train_loss': 0.007341457576490938, 'self': '0.00001', 'value': '0.00733', 'val_loss': 0.0070002810422666985, 'val_self': '0.00000', 'val_value': '0.00700', 'lr': '0.00040', 'step': 51000}
{'epoch': 18, 'train_loss': 0.007005415564402938, 'self': '0.00000', 'value': '0.00700', 'val_loss': 0.0065263999639399595, 'val_self': '0.00000', 'val_value': '0.00653', 'lr': '0.00040', 'step': 54000}
{'epoch': 19, 'train_loss': 0.006797287493788948, 'self': '0.00000', 'value': '0.00680', 'val_loss': 0.006380375946078022, 'val_self': '0.00000', 'val_value': '0.00638', 'lr': '0.00040', 'step': 57000}
{'epoch': 20, 'train_loss': 0.006603310987042884, 'self': '0.00000', 'value': '0.00660', 'val_loss': 0.006021003641539299, 'val_self': '0.00000', 'val_value': '0.00602', 'lr': '0.00040', 'step': 60000}
{'epoch': 21, 'train_loss': 0.006434118810265015, 'self': '0.00000', 'value': '0.00643', 'val_loss': 0.006022788969738806, 'val_self': '0.00000', 'val_value': '0.00602', 'lr': '0.00040', 'step': 63000}
{'epoch': 22, 'train_loss': 0.00644322071177885, 'self': '0.00000', 'value': '0.00644', 'val_loss': 0.006041236424085791, 'val_self': '0.00000', 'val_value': '0.00604', 'lr': '0.00040', 'step': 66000}
{'epoch': 23, 'train_loss': 0.006174089284924169, 'self': '0.00000', 'value': '0.00617', 'val_loss': 0.00581191063259316, 'val_self': '0.00000', 'val_value': '0.00581', 'lr': '0.00040', 'step': 69000}
{'epoch': 24, 'train_loss': 0.0060481124762445685, 'self': '0.00000', 'value': '0.00605', 'val_loss': 0.00581574069763549, 'val_self': '0.00000', 'val_value': '0.00582', 'lr': '0.00040', 'step': 72000}
{'epoch': 25, 'train_loss': 0.005976762586273253, 'self': '0.00000', 'value': '0.00598', 'val_loss': 0.005578129794677628, 'val_self': '0.00000', 'val_value': '0.00558', 'lr': '0.00040', 'step': 75000}
{'epoch': 26, 'train_loss': 0.005852979411060611, 'self': '0.00000', 'value': '0.00585', 'val_loss': 0.005394179930292131, 'val_self': '0.00000', 'val_value': '0.00539', 'lr': '0.00040', 'step': 78000}
{'epoch': 27, 'train_loss': 0.005721446925774217, 'self': '0.00000', 'value': '0.00572', 'val_loss': 0.005352665718881505, 'val_self': '0.00000', 'val_value': '0.00535', 'lr': '0.00040', 'step': 81000}
{'epoch': 28, 'train_loss': 0.005651264327112585, 'self': '0.00000', 'value': '0.00565', 'val_loss': 0.00528671112690182, 'val_self': '0.00000', 'val_value': '0.00529', 'lr': '0.00040', 'step': 84000}
{'epoch': 29, 'train_loss': 0.005529046836930017, 'self': '0.00000', 'value': '0.00553', 'val_loss': 0.005167581818971142, 'val_self': '0.00000', 'val_value': '0.00517', 'lr': '0.00040', 'step': 87000}
{'epoch': 30, 'train_loss': 0.005470837591060747, 'self': '0.00000', 'value': '0.00547', 'val_loss': 0.005239050663610707, 'val_self': '0.00000', 'val_value': '0.00524', 'lr': '0.00040', 'step': 90000}
{'epoch': 31, 'train_loss': 0.005389137160343428, 'self': '0.00000', 'value': '0.00539', 'val_loss': 0.0050122050614264165, 'val_self': '0.00000', 'val_value': '0.00501', 'lr': '0.00040', 'step': 93000}
{'epoch': 32, 'train_loss': 0.005347725037795802, 'self': '0.00000', 'value': '0.00535', 'val_loss': 0.004942388941732342, 'val_self': '0.00000', 'val_value': '0.00494', 'lr': '0.00040', 'step': 96000}
{'epoch': 33, 'train_loss': 0.00526603430416435, 'self': '0.00000', 'value': '0.00527', 'val_loss': 0.004941965515351259, 'val_self': '0.00000', 'val_value': '0.00494', 'lr': '0.00040', 'step': 99000}
{'epoch': 34, 'train_loss': 0.005199487740872428, 'self': '0.00000', 'value': '0.00520', 'val_loss': 0.004899501568660689, 'val_self': '0.00000', 'val_value': '0.00490', 'lr': '0.00040', 'step': 102000}
{'epoch': 35, 'train_loss': 0.005126741565143068, 'self': '0.00000', 'value': '0.00513', 'val_loss': 0.004769925131619007, 'val_self': '0.00000', 'val_value': '0.00477', 'lr': '0.00040', 'step': 105000}
{'epoch': 36, 'train_loss': 0.0050798285249620675, 'self': '0.00000', 'value': '0.00508', 'val_loss': 0.004762685603889652, 'val_self': '0.00000', 'val_value': '0.00476', 'lr': '0.00040', 'step': 108000}
{'epoch': 37, 'train_loss': 0.005055626068652297, 'self': '0.00000', 'value': '0.00506', 'val_loss': 0.004669383379581124, 'val_self': '0.00000', 'val_value': '0.00467', 'lr': '0.00040', 'step': 111000}
{'epoch': 38, 'train_loss': 0.0049682687087139734, 'self': '0.00000', 'value': '0.00497', 'val_loss': 0.004637683176847755, 'val_self': '0.00000', 'val_value': '0.00464', 'lr': '0.00040', 'step': 114000}
{'epoch': 39, 'train_loss': 0.0049382941878866405, 'self': '0.00000', 'value': '0.00494', 'val_loss': 0.004566545882567641, 'val_self': '0.00000', 'val_value': '0.00457', 'lr': '0.00040', 'step': 117000}
{'epoch': 40, 'train_loss': 0.004864681988644103, 'self': '0.00000', 'value': '0.00486', 'val_loss': 0.004818453512643082, 'val_self': '0.00000', 'val_value': '0.00482', 'lr': '0.00040', 'step': 120000}
{'epoch': 41, 'train_loss': 0.004843073074628289, 'self': '0.00000', 'value': '0.00484', 'val_loss': 0.004550561148074043, 'val_self': '0.00000', 'val_value': '0.00455', 'lr': '0.00040', 'step': 123000}
{'epoch': 42, 'train_loss': 0.004781977593277892, 'self': '0.00000', 'value': '0.00478', 'val_loss': 0.004606576958007072, 'val_self': '0.00000', 'val_value': '0.00461', 'lr': '0.00040', 'step': 126000}
{'epoch': 43, 'train_loss': 0.004748491181448723, 'self': '0.00000', 'value': '0.00475', 'val_loss': 0.004607127202182367, 'val_self': '0.00000', 'val_value': '0.00461', 'lr': '0.00040', 'step': 129000}
{'epoch': 44, 'train_loss': 0.00471026199342062, 'self': '0.00000', 'value': '0.00471', 'val_loss': 0.004517309279868104, 'val_self': '0.00000', 'val_value': '0.00452', 'lr': '0.00040', 'step': 132000}
{'epoch': 45, 'train_loss': 0.004705642233137041, 'self': '0.00000', 'value': '0.00471', 'val_loss': 0.0044439164210744505, 'val_self': '0.00000', 'val_value': '0.00444', 'lr': '0.00040', 'step': 135000}
{'epoch': 46, 'train_loss': 0.004636586418142542, 'self': '0.00000', 'value': '0.00464', 'val_loss': 0.0044686225382229465, 'val_self': '0.00000', 'val_value': '0.00447', 'lr': '0.00040', 'step': 138000}
{'epoch': 47, 'train_loss': 0.0046086424136689555, 'self': '0.00000', 'value': '0.00461', 'val_loss': 0.004349430856012479, 'val_self': '0.00000', 'val_value': '0.00435', 'lr': '0.00040', 'step': 141000}
{'epoch': 48, 'train_loss': 0.004566637812182308, 'self': '0.00000', 'value': '0.00457', 'val_loss': 0.004331685958113369, 'val_self': '0.00000', 'val_value': '0.00433', 'lr': '0.00040', 'step': 144000}
{'epoch': 49, 'train_loss': 0.00455766506283544, 'self': '0.00000', 'value': '0.00456', 'val_loss': 0.0043347645627304175, 'val_self': '0.00000', 'val_value': '0.00433', 'lr': '0.00040', 'step': 147000}
{'epoch': 50, 'train_loss': 0.004497678835953896, 'self': '0.00000', 'value': '0.00450', 'val_loss': 0.004344100479444978, 'val_self': '0.00000', 'val_value': '0.00434', 'lr': '0.00040', 'step': 150000}
