Total number of parameters: 7,441,952
{'epoch': 1, 'train_loss': 0.031090584435189764, 'self': '0.00345', 'value': '0.02764', 'val_loss': 0.017918099576729487, 'val_self': '0.00002', 'val_value': '0.01790', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.018962884213464957, 'self': '0.00002', 'value': '0.01894', 'val_loss': 0.015983427880469282, 'val_self': '0.00001', 'val_value': '0.01598', 'lr': '0.00040', 'step': 6000}
{'epoch': 3, 'train_loss': 0.016509579037005704, 'self': '0.00000', 'value': '0.01650', 'val_loss': 0.014367125111586247, 'val_self': '0.00000', 'val_value': '0.01437', 'lr': '0.00040', 'step': 9000}
{'epoch': 4, 'train_loss': 0.014858484025423726, 'self': '0.00000', 'value': '0.01486', 'val_loss': 0.012477546686031779, 'val_self': '0.00000', 'val_value': '0.01248', 'lr': '0.00040', 'step': 12000}
{'epoch': 5, 'train_loss': 0.013051193285423021, 'self': '0.00000', 'value': '0.01305', 'val_loss': 0.0117686178352012, 'val_self': '0.00000', 'val_value': '0.01177', 'lr': '0.00040', 'step': 15000}
{'epoch': 6, 'train_loss': 0.01172741078895827, 'self': '0.00000', 'value': '0.01173', 'val_loss': 0.010401231332178244, 'val_self': '0.00000', 'val_value': '0.01040', 'lr': '0.00040', 'step': 18000}
{'epoch': 7, 'train_loss': 0.01056287271839877, 'self': '0.00000', 'value': '0.01056', 'val_loss': 0.009437255941132908, 'val_self': '0.00000', 'val_value': '0.00944', 'lr': '0.00040', 'step': 21000}
{'epoch': 8, 'train_loss': 0.009775859181924413, 'self': '0.00000', 'value': '0.00978', 'val_loss': 0.008624608471959096, 'val_self': '0.00000', 'val_value': '0.00862', 'lr': '0.00040', 'step': 24000}
{'epoch': 9, 'train_loss': 0.01099892478218923, 'self': '0.00018', 'value': '0.01082', 'val_loss': 0.008396313855897819, 'val_self': '0.00000', 'val_value': '0.00839', 'lr': '0.00040', 'step': 27000}
{'epoch': 10, 'train_loss': 0.008814292926962177, 'self': '0.00000', 'value': '0.00881', 'val_loss': 0.008546451599047076, 'val_self': '0.00000', 'val_value': '0.00855', 'lr': '0.00040', 'step': 30000}
{'epoch': 11, 'train_loss': 0.008459224885484824, 'self': '0.00000', 'value': '0.00846', 'val_loss': 0.007714681385550648, 'val_self': '0.00000', 'val_value': '0.00771', 'lr': '0.00040', 'step': 33000}
{'epoch': 12, 'train_loss': 0.008056694882300992, 'self': '0.00000', 'value': '0.00806', 'val_loss': 0.007298636636658587, 'val_self': '0.00000', 'val_value': '0.00730', 'lr': '0.00040', 'step': 36000}
{'epoch': 13, 'train_loss': 0.007714925310729692, 'self': '0.00000', 'value': '0.00771', 'val_loss': 0.007173910460312714, 'val_self': '0.00000', 'val_value': '0.00717', 'lr': '0.00040', 'step': 39000}
{'epoch': 14, 'train_loss': 0.007447227298126867, 'self': '0.00000', 'value': '0.00745', 'val_loss': 0.006885069021649781, 'val_self': '0.00000', 'val_value': '0.00688', 'lr': '0.00040', 'step': 42000}
{'epoch': 15, 'train_loss': 0.007224442751146853, 'self': '0.00000', 'value': '0.00722', 'val_loss': 0.006666124665720358, 'val_self': '0.00000', 'val_value': '0.00667', 'lr': '0.00040', 'step': 45000}
{'epoch': 16, 'train_loss': 0.007192037084450324, 'self': '0.00002', 'value': '0.00718', 'val_loss': 0.006564955213717872, 'val_self': '0.00000', 'val_value': '0.00656', 'lr': '0.00040', 'step': 48000}
{'epoch': 17, 'train_loss': 0.006792639566895862, 'self': '0.00000', 'value': '0.00679', 'val_loss': 0.006502331639105668, 'val_self': '0.00000', 'val_value': '0.00650', 'lr': '0.00040', 'step': 51000}
{'epoch': 18, 'train_loss': 0.00670321352314204, 'self': '0.00000', 'value': '0.00670', 'val_loss': 0.006305773963876923, 'val_self': '0.00000', 'val_value': '0.00631', 'lr': '0.00040', 'step': 54000}
{'epoch': 19, 'train_loss': 0.006546458241995424, 'self': '0.00000', 'value': '0.00655', 'val_loss': 0.00621579923250972, 'val_self': '0.00000', 'val_value': '0.00622', 'lr': '0.00040', 'step': 57000}
{'epoch': 20, 'train_loss': 0.006452745854388923, 'self': '0.00001', 'value': '0.00645', 'val_loss': 0.006180473509794253, 'val_self': '0.00000', 'val_value': '0.00618', 'lr': '0.00040', 'step': 60000}
{'epoch': 21, 'train_loss': 0.006306621397690226, 'self': '0.00000', 'value': '0.00631', 'val_loss': 0.005913595022961925, 'val_self': '0.00000', 'val_value': '0.00591', 'lr': '0.00040', 'step': 63000}
{'epoch': 22, 'train_loss': 0.006207985456101597, 'self': '0.00000', 'value': '0.00621', 'val_loss': 0.005885428608753947, 'val_self': '0.00000', 'val_value': '0.00589', 'lr': '0.00040', 'step': 66000}
{'epoch': 23, 'train_loss': 0.0061019044898760815, 'self': '0.00000', 'value': '0.00610', 'val_loss': 0.00586229031829194, 'val_self': '0.00000', 'val_value': '0.00586', 'lr': '0.00040', 'step': 69000}
{'epoch': 24, 'train_loss': 0.006001568283730497, 'self': '0.00000', 'value': '0.00600', 'val_loss': 0.005699424774454693, 'val_self': '0.00000', 'val_value': '0.00570', 'lr': '0.00040', 'step': 72000}
{'epoch': 25, 'train_loss': 0.0058667327165603635, 'self': '0.00000', 'value': '0.00587', 'val_loss': 0.005624229686724052, 'val_self': '0.00000', 'val_value': '0.00562', 'lr': '0.00040', 'step': 75000}
