Total number of parameters: 5,468,498
{'epoch': 1, 'train_loss': 0.1072791898821791, 'self': '0.00478', 'value': '0.02733', 'legal': '0.03670', 'avs': '0.03847', 'val_loss': 0.05313604204442169, 'val_self': '0.00007', 'val_value': '0.01758', 'val_legal': '0.00875', 'val_avs': '0.02674', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.04483880626782775, 'self': '0.00003', 'value': '0.01757', 'legal': '0.00472', 'avs': '0.02252', 'val_loss': 0.035840857659512365, 'val_self': '0.00002', 'val_value': '0.01427', 'val_legal': '0.00224', 'val_avs': '0.01931', 'lr': '0.00040', 'step': 6000}
{'epoch': 3, 'train_loss': 0.032710092851892116, 'self': '0.00001', 'value': '0.01439', 'legal': '0.00194', 'avs': '0.01637', 'val_loss': 0.02721568642443687, 'val_self': '0.00001', 'val_value': '0.01163', 'val_legal': '0.00096', 'val_avs': '0.01462', 'lr': '0.00040', 'step': 9000}
{'epoch': 4, 'train_loss': 0.024944868706787627, 'self': '0.00000', 'value': '0.01152', 'legal': '0.00077', 'avs': '0.01265', 'val_loss': 0.02188279402640755, 'val_self': '0.00000', 'val_value': '0.00969', 'val_legal': '0.00045', 'val_avs': '0.01173', 'lr': '0.00040', 'step': 12000}
{'epoch': 5, 'train_loss': 0.02048457816367348, 'self': '0.00000', 'value': '0.00962', 'legal': '0.00040', 'avs': '0.01046', 'val_loss': 0.017756358712728394, 'val_self': '0.00000', 'val_value': '0.00796', 'val_legal': '0.00026', 'val_avs': '0.00954', 'lr': '0.00040', 'step': 15000}
{'epoch': 6, 'train_loss': 0.017894390049700937, 'self': '0.00000', 'value': '0.00841', 'legal': '0.00034', 'avs': '0.00914', 'val_loss': 0.016006154618913034, 'val_self': '0.00000', 'val_value': '0.00717', 'val_legal': '0.00020', 'val_avs': '0.00864', 'lr': '0.00040', 'step': 18000}
{'epoch': 7, 'train_loss': 0.015800609511633715, 'self': '0.00000', 'value': '0.00746', 'legal': '0.00020', 'avs': '0.00813', 'val_loss': 0.015224268818350479, 'val_self': '0.00000', 'val_value': '0.00699', 'val_legal': '0.00017', 'val_avs': '0.00806', 'lr': '0.00040', 'step': 21000}
{'epoch': 8, 'train_loss': 0.014895629413736363, 'self': '0.00000', 'value': '0.00707', 'legal': '0.00017', 'avs': '0.00765', 'val_loss': 0.043806181617508655, 'val_self': '0.00000', 'val_value': '0.02185', 'val_legal': '0.00086', 'val_avs': '0.02110', 'lr': '0.00040', 'step': 24000}
{'epoch': 9, 'train_loss': 0.013858450500294566, 'self': '0.00000', 'value': '0.00660', 'legal': '0.00013', 'avs': '0.00713', 'val_loss': 0.013062804941179567, 'val_self': '0.00000', 'val_value': '0.00594', 'val_legal': '0.00011', 'val_avs': '0.00702', 'lr': '0.00040', 'step': 27000}
{'epoch': 10, 'train_loss': 0.013411917836094895, 'self': '0.00000', 'value': '0.00640', 'legal': '0.00011', 'avs': '0.00690', 'val_loss': 0.013281519814837174, 'val_self': '0.00000', 'val_value': '0.00606', 'val_legal': '0.00009', 'val_avs': '0.00713', 'lr': '0.00040', 'step': 30000}
{'epoch': 11, 'train_loss': 0.012472657734838626, 'self': '0.00000', 'value': '0.00595', 'legal': '0.00009', 'avs': '0.00643', 'val_loss': 0.011907647882939363, 'val_self': '0.00000', 'val_value': '0.00542', 'val_legal': '0.00008', 'val_avs': '0.00641', 'lr': '0.00040', 'step': 33000}
{'epoch': 12, 'train_loss': 0.012340807668554285, 'self': '0.00000', 'value': '0.00590', 'legal': '0.00008', 'avs': '0.00636', 'val_loss': 0.011280110871159762, 'val_self': '0.00000', 'val_value': '0.00511', 'val_legal': '0.00006', 'val_avs': '0.00610', 'lr': '0.00040', 'step': 36000}
{'epoch': 13, 'train_loss': 0.011523080614084998, 'self': '0.00000', 'value': '0.00549', 'legal': '0.00007', 'avs': '0.00597', 'val_loss': 0.011202746536582708, 'val_self': '0.00000', 'val_value': '0.00507', 'val_legal': '0.00007', 'val_avs': '0.00606', 'lr': '0.00040', 'step': 39000}
{'epoch': 14, 'train_loss': 0.011719145832272867, 'self': '0.00000', 'value': '0.00560', 'legal': '0.00007', 'avs': '0.00606', 'val_loss': 0.010647243337293506, 'val_self': '0.00000', 'val_value': '0.00482', 'val_legal': '0.00005', 'val_avs': '0.00578', 'lr': '0.00040', 'step': 42000}
{'epoch': 15, 'train_loss': 0.010875217988466223, 'self': '0.00000', 'value': '0.00518', 'legal': '0.00006', 'avs': '0.00564', 'val_loss': 0.010737974919974193, 'val_self': '0.00000', 'val_value': '0.00488', 'val_legal': '0.00005', 'val_avs': '0.00581', 'lr': '0.00040', 'step': 45000}
{'epoch': 16, 'train_loss': 0.010613369254705806, 'self': '0.00000', 'value': '0.00505', 'legal': '0.00005', 'avs': '0.00551', 'val_loss': 0.010435040526809628, 'val_self': '0.00000', 'val_value': '0.00470', 'val_legal': '0.00006', 'val_avs': '0.00567', 'lr': '0.00040', 'step': 48000}
{'epoch': 17, 'train_loss': 0.010315879956198235, 'self': '0.00000', 'value': '0.00491', 'legal': '0.00005', 'avs': '0.00536', 'val_loss': 0.009876019002671247, 'val_self': '0.00000', 'val_value': '0.00447', 'val_legal': '0.00004', 'val_avs': '0.00537', 'lr': '0.00040', 'step': 51000}
