Total number of parameters: 5,488,210
{'epoch': 1, 'train_loss': 0.10208962223430475, 'self': '0.00866', 'value': '0.02594', 'legal': '0.03141', 'avs': '0.03608', 'val_loss': 0.05058092690363038, 'val_self': '0.00008', 'val_value': '0.01625', 'val_legal': '0.00893', 'val_avs': '0.02533', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.04271987570573886, 'self': '0.00004', 'value': '0.01640', 'legal': '0.00526', 'avs': '0.02102', 'val_loss': 0.03351947760255244, 'val_self': '0.00002', 'val_value': '0.01299', 'val_legal': '0.00293', 'val_avs': '0.01757', 'lr': '0.00040', 'step': 6000}
{'epoch': 3, 'train_loss': 0.030735930358370144, 'self': '0.00001', 'value': '0.01321', 'legal': '0.00222', 'avs': '0.01529', 'val_loss': 0.02490112557243861, 'val_self': '0.00001', 'val_value': '0.01054', 'val_legal': '0.00104', 'val_avs': '0.01332', 'lr': '0.00040', 'step': 9000}
{'epoch': 4, 'train_loss': 0.022521093306442103, 'self': '0.00001', 'value': '0.01033', 'legal': '0.00074', 'avs': '0.01144', 'val_loss': 0.021090424615798183, 'val_self': '0.00000', 'val_value': '0.00939', 'val_legal': '0.00049', 'val_avs': '0.01122', 'lr': '0.00040', 'step': 12000}
{'epoch': 5, 'train_loss': 0.018876523552462457, 'self': '0.00000', 'value': '0.00885', 'legal': '0.00039', 'avs': '0.00964', 'val_loss': 0.01918811408695994, 'val_self': '0.00000', 'val_value': '0.00874', 'val_legal': '0.00027', 'val_avs': '0.01018', 'lr': '0.00040', 'step': 15000}
{'epoch': 6, 'train_loss': 0.02713715832742552, 'self': '0.00572', 'value': '0.00915', 'legal': '0.00198', 'avs': '0.01029', 'val_loss': 0.015969422023712855, 'val_self': '0.00000', 'val_value': '0.00723', 'val_legal': '0.00025', 'val_avs': '0.00849', 'lr': '0.00040', 'step': 18000}
{'epoch': 7, 'train_loss': 0.015955818321866294, 'self': '0.00000', 'value': '0.00753', 'legal': '0.00023', 'avs': '0.00819', 'val_loss': 0.04620736555700175, 'val_self': '0.00004', 'val_value': '0.02041', 'val_legal': '0.00102', 'val_avs': '0.02474', 'lr': '0.00040', 'step': 21000}
{'epoch': 8, 'train_loss': 0.015044371022842824, 'self': '0.00000', 'value': '0.00716', 'legal': '0.00018', 'avs': '0.00770', 'val_loss': 0.013880978708659283, 'val_self': '0.00000', 'val_value': '0.00628', 'val_legal': '0.00014', 'val_avs': '0.00746', 'lr': '0.00040', 'step': 24000}
{'epoch': 9, 'train_loss': 0.013987961863788466, 'self': '0.00000', 'value': '0.00667', 'legal': '0.00013', 'avs': '0.00718', 'val_loss': 0.013236848954264014, 'val_self': '0.00000', 'val_value': '0.00610', 'val_legal': '0.00011', 'val_avs': '0.00702', 'lr': '0.00040', 'step': 27000}
{'epoch': 10, 'train_loss': 0.013253304658147195, 'self': '0.00000', 'value': '0.00634', 'legal': '0.00011', 'avs': '0.00680', 'val_loss': 0.012555550885020344, 'val_self': '0.00000', 'val_value': '0.00575', 'val_legal': '0.00009', 'val_avs': '0.00671', 'lr': '0.00040', 'step': 30000}
{'epoch': 11, 'train_loss': 0.01265070540830493, 'self': '0.00000', 'value': '0.00607', 'legal': '0.00009', 'avs': '0.00649', 'val_loss': 0.012119148936137924, 'val_self': '0.00000', 'val_value': '0.00552', 'val_legal': '0.00007', 'val_avs': '0.00653', 'lr': '0.00040', 'step': 33000}
{'epoch': 12, 'train_loss': 0.013442163764809568, 'self': '0.00066', 'value': '0.00609', 'legal': '0.00016', 'avs': '0.00653', 'val_loss': 0.011533438058218872, 'val_self': '0.00000', 'val_value': '0.00520', 'val_legal': '0.00009', 'val_avs': '0.00624', 'lr': '0.00040', 'step': 36000}
{'epoch': 13, 'train_loss': 0.011428102748158078, 'self': '0.00000', 'value': '0.00547', 'legal': '0.00007', 'avs': '0.00589', 'val_loss': 0.011617713913199355, 'val_self': '0.00000', 'val_value': '0.00534', 'val_legal': '0.00006', 'val_avs': '0.00622', 'lr': '0.00040', 'step': 39000}
{'epoch': 14, 'train_loss': 0.011387502233497798, 'self': '0.00000', 'value': '0.00547', 'legal': '0.00006', 'avs': '0.00585', 'val_loss': 0.010905070451744756, 'val_self': '0.00000', 'val_value': '0.00498', 'val_legal': '0.00005', 'val_avs': '0.00587', 'lr': '0.00040', 'step': 42000}
{'epoch': 15, 'train_loss': 0.011124218853500982, 'self': '0.00000', 'value': '0.00536', 'legal': '0.00006', 'avs': '0.00570', 'val_loss': 0.010631456684901333, 'val_self': '0.00000', 'val_value': '0.00487', 'val_legal': '0.00005', 'val_avs': '0.00571', 'lr': '0.00040', 'step': 45000}
{'epoch': 16, 'train_loss': 0.011272683883396287, 'self': '0.00004', 'value': '0.00540', 'legal': '0.00009', 'avs': '0.00574', 'val_loss': 0.01041585118433491, 'val_self': '0.00000', 'val_value': '0.00476', 'val_legal': '0.00006', 'val_avs': '0.00559', 'lr': '0.00040', 'step': 48000}
{'epoch': 17, 'train_loss': 0.010602778163117667, 'self': '0.00000', 'value': '0.00512', 'legal': '0.00005', 'avs': '0.00543', 'val_loss': 0.01006555423468779, 'val_self': '0.00000', 'val_value': '0.00463', 'val_legal': '0.00004', 'val_avs': '0.00540', 'lr': '0.00040', 'step': 51000}
{'epoch': 18, 'train_loss': 0.010299773174027601, 'self': '0.00000', 'value': '0.00497', 'legal': '0.00005', 'avs': '0.00528', 'val_loss': 0.010108897025452653, 'val_self': '0.00000', 'val_value': '0.00465', 'val_legal': '0.00005', 'val_avs': '0.00541', 'lr': '0.00040', 'step': 54000}
{'epoch': 19, 'train_loss': 0.010175741815318664, 'self': '0.00000', 'value': '0.00492', 'legal': '0.00004', 'avs': '0.00521', 'val_loss': 0.009692827642315114, 'val_self': '0.00000', 'val_value': '0.00448', 'val_legal': '0.00004', 'val_avs': '0.00517', 'lr': '0.00040', 'step': 57000}
{'epoch': 20, 'train_loss': 0.009903771276275317, 'self': '0.00000', 'value': '0.00479', 'legal': '0.00004', 'avs': '0.00507', 'val_loss': 0.009491862658579207, 'val_self': '0.00000', 'val_value': '0.00440', 'val_legal': '0.00004', 'val_avs': '0.00506', 'lr': '0.00040', 'step': 60000}
{'epoch': 21, 'train_loss': 0.009770707024571796, 'self': '0.00000', 'value': '0.00473', 'legal': '0.00004', 'avs': '0.00500', 'val_loss': 0.009463606156088168, 'val_self': '0.00000', 'val_value': '0.00436', 'val_legal': '0.00004', 'val_avs': '0.00507', 'lr': '0.00040', 'step': 63000}
{'epoch': 22, 'train_loss': 0.009608736897818744, 'self': '0.00000', 'value': '0.00466', 'legal': '0.00004', 'avs': '0.00491', 'val_loss': 0.00927525114069586, 'val_self': '0.00000', 'val_value': '0.00432', 'val_legal': '0.00003', 'val_avs': '0.00492', 'lr': '0.00040', 'step': 66000}
{'epoch': 23, 'train_loss': 0.009390733779718479, 'self': '0.00000', 'value': '0.00455', 'legal': '0.00003', 'avs': '0.00481', 'val_loss': 0.009151217449441185, 'val_self': '0.00000', 'val_value': '0.00422', 'val_legal': '0.00003', 'val_avs': '0.00490', 'lr': '0.00040', 'step': 69000}
{'epoch': 24, 'train_loss': 0.011015801730565726, 'self': '0.00095', 'value': '0.00480', 'legal': '0.00018', 'avs': '0.00510', 'val_loss': 0.008843931241617461, 'val_self': '0.00000', 'val_value': '0.00404', 'val_legal': '0.00004', 'val_avs': '0.00476', 'lr': '0.00040', 'step': 72000}
{'epoch': 25, 'train_loss': 0.008917850684995452, 'self': '0.00000', 'value': '0.00430', 'legal': '0.00003', 'avs': '0.00458', 'val_loss': 0.008686310941826736, 'val_self': '0.00000', 'val_value': '0.00403', 'val_legal': '0.00002', 'val_avs': '0.00463', 'lr': '0.00040', 'step': 75000}
{'epoch': 26, 'train_loss': 0.009050885375278692, 'self': '0.00000', 'value': '0.00438', 'legal': '0.00003', 'avs': '0.00463', 'val_loss': 0.008679232973277141, 'val_self': '0.00000', 'val_value': '0.00400', 'val_legal': '0.00002', 'val_avs': '0.00466', 'lr': '0.00040', 'step': 78000}
{'epoch': 27, 'train_loss': 0.008987459022396555, 'self': '0.00000', 'value': '0.00435', 'legal': '0.00003', 'avs': '0.00460', 'val_loss': 0.009232287379134386, 'val_self': '0.00000', 'val_value': '0.00425', 'val_legal': '0.00006', 'val_avs': '0.00493', 'lr': '0.00040', 'step': 81000}
{'epoch': 28, 'train_loss': 0.008893436613803108, 'self': '0.00000', 'value': '0.00431', 'legal': '0.00003', 'avs': '0.00455', 'val_loss': 0.008711448982243472, 'val_self': '0.00000', 'val_value': '0.00403', 'val_legal': '0.00003', 'val_avs': '0.00465', 'lr': '0.00040', 'step': 84000}
{'epoch': 29, 'train_loss': 0.008747938368314256, 'self': '0.00000', 'value': '0.00423', 'legal': '0.00003', 'avs': '0.00449', 'val_loss': 0.008555628126487136, 'val_self': '0.00000', 'val_value': '0.00395', 'val_legal': '0.00003', 'val_avs': '0.00458', 'lr': '0.00040', 'step': 87000}
{'epoch': 30, 'train_loss': 0.008694087946166594, 'self': '0.00000', 'value': '0.00421', 'legal': '0.00003', 'avs': '0.00445', 'val_loss': 0.008357787069666093, 'val_self': '0.00000', 'val_value': '0.00385', 'val_legal': '0.00002', 'val_avs': '0.00448', 'lr': '0.00040', 'step': 90000}
{'epoch': 31, 'train_loss': 0.008550867003854365, 'self': '0.00000', 'value': '0.00414', 'legal': '0.00003', 'avs': '0.00439', 'val_loss': 0.008325394631371085, 'val_self': '0.00000', 'val_value': '0.00384', 'val_legal': '0.00002', 'val_avs': '0.00446', 'lr': '0.00040', 'step': 93000}
