Total number of parameters: 5,336,608
{'epoch': 1, 'train_loss': 0.030876816608632604, 'self': '0.00310', 'value': '0.02777', 'val_loss': 0.018398626318170887, 'val_self': '0.00002', 'val_value': '0.01838', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.018975407506960133, 'self': '0.00001', 'value': '0.01896', 'val_loss': 0.01707756540119709, 'val_self': '0.00001', 'val_value': '0.01707', 'lr': '0.00040', 'step': 6000}
{'epoch': 3, 'train_loss': 0.016922704125133654, 'self': '0.00000', 'value': '0.01692', 'val_loss': 0.014356143911918778, 'val_self': '0.00000', 'val_value': '0.01435', 'lr': '0.00040', 'step': 9000}
{'epoch': 4, 'train_loss': 0.014794632774777711, 'self': '0.00000', 'value': '0.01479', 'val_loss': 0.012609745104812452, 'val_self': '0.00000', 'val_value': '0.01261', 'lr': '0.00040', 'step': 12000}
{'epoch': 5, 'train_loss': 0.014512561052727203, 'self': '0.00029', 'value': '0.01423', 'val_loss': 0.011614738810868537, 'val_self': '0.00000', 'val_value': '0.01161', 'lr': '0.00040', 'step': 15000}
{'epoch': 6, 'train_loss': 0.012049132027042409, 'self': '0.00000', 'value': '0.01205', 'val_loss': 0.010401672093945815, 'val_self': '0.00000', 'val_value': '0.01040', 'lr': '0.00040', 'step': 18000}
{'epoch': 7, 'train_loss': 0.010816438202435772, 'self': '0.00000', 'value': '0.01081', 'val_loss': 0.00932254108359854, 'val_self': '0.00000', 'val_value': '0.00932', 'lr': '0.00040', 'step': 21000}
{'epoch': 8, 'train_loss': 0.009504082516146203, 'self': '0.00000', 'value': '0.00950', 'val_loss': 0.008509037858753114, 'val_self': '0.00000', 'val_value': '0.00851', 'lr': '0.00040', 'step': 24000}
{'epoch': 9, 'train_loss': 0.008907160287878165, 'self': '0.00000', 'value': '0.00890', 'val_loss': 0.007946608087131907, 'val_self': '0.00000', 'val_value': '0.00795', 'lr': '0.00040', 'step': 27000}
{'epoch': 10, 'train_loss': 0.008071755960583687, 'self': '0.00000', 'value': '0.00807', 'val_loss': 0.007280650003775038, 'val_self': '0.00000', 'val_value': '0.00728', 'lr': '0.00040', 'step': 30000}
{'epoch': 11, 'train_loss': 0.0077198088287065425, 'self': '0.00000', 'value': '0.00772', 'val_loss': 0.006843771608012011, 'val_self': '0.00000', 'val_value': '0.00684', 'lr': '0.00040', 'step': 33000}
{'epoch': 12, 'train_loss': 0.007118456821267803, 'self': '0.00000', 'value': '0.00712', 'val_loss': 0.006361627234642195, 'val_self': '0.00000', 'val_value': '0.00636', 'lr': '0.00040', 'step': 36000}
{'epoch': 13, 'train_loss': 0.006865933820760498, 'self': '0.00000', 'value': '0.00687', 'val_loss': 0.006219839353732703, 'val_self': '0.00000', 'val_value': '0.00622', 'lr': '0.00040', 'step': 39000}
{'epoch': 14, 'train_loss': 0.00647512682635958, 'self': '0.00000', 'value': '0.00647', 'val_loss': 0.005915498691152965, 'val_self': '0.00000', 'val_value': '0.00591', 'lr': '0.00040', 'step': 42000}
{'epoch': 15, 'train_loss': 0.006499632712608824, 'self': '0.00000', 'value': '0.00650', 'val_loss': 0.005739894401679029, 'val_self': '0.00000', 'val_value': '0.00574', 'lr': '0.00040', 'step': 45000}
{'epoch': 16, 'train_loss': 0.006034382863746335, 'self': '0.00000', 'value': '0.00603', 'val_loss': 0.005747294998117035, 'val_self': '0.00000', 'val_value': '0.00575', 'lr': '0.00040', 'step': 48000}
{'epoch': 17, 'train_loss': 0.005860865088334928, 'self': '0.00000', 'value': '0.00586', 'val_loss': 0.005476129149682209, 'val_self': '0.00000', 'val_value': '0.00548', 'lr': '0.00040', 'step': 51000}
{'epoch': 18, 'train_loss': 0.0057921647058489425, 'self': '0.00000', 'value': '0.00579', 'val_loss': 0.007424302635806017, 'val_self': '0.00000', 'val_value': '0.00742', 'lr': '0.00040', 'step': 54000}
{'epoch': 19, 'train_loss': 0.005528543181950226, 'self': '0.00000', 'value': '0.00553', 'val_loss': 0.005505468204930486, 'val_self': '0.00000', 'val_value': '0.00551', 'lr': '0.00040', 'step': 57000}
{'epoch': 20, 'train_loss': 0.0054208517842149985, 'self': '0.00000', 'value': '0.00542', 'val_loss': 0.005176105202542099, 'val_self': '0.00000', 'val_value': '0.00518', 'lr': '0.00040', 'step': 60000}
{'epoch': 21, 'train_loss': 0.00529212866568317, 'self': '0.00000', 'value': '0.00529', 'val_loss': 0.00503473717683056, 'val_self': '0.00000', 'val_value': '0.00503', 'lr': '0.00040', 'step': 63000}
{'epoch': 22, 'train_loss': 0.0051921948433543245, 'self': '0.00000', 'value': '0.00519', 'val_loss': 0.005142684845582078, 'val_self': '0.00000', 'val_value': '0.00514', 'lr': '0.00040', 'step': 66000}
{'epoch': 23, 'train_loss': 0.005331149017593513, 'self': '0.00000', 'value': '0.00533', 'val_loss': 0.004931264754468727, 'val_self': '0.00000', 'val_value': '0.00493', 'lr': '0.00040', 'step': 69000}
{'epoch': 24, 'train_loss': 0.004994507674205427, 'self': '0.00000', 'value': '0.00499', 'val_loss': 0.004672771276329781, 'val_self': '0.00000', 'val_value': '0.00467', 'lr': '0.00040', 'step': 72000}
{'epoch': 25, 'train_loss': 0.0048975957856358335, 'self': '0.00000', 'value': '0.00490', 'val_loss': 0.00457318530887457, 'val_self': '0.00000', 'val_value': '0.00457', 'lr': '0.00040', 'step': 75000}
{'epoch': 26, 'train_loss': 0.004856218520241479, 'self': '0.00000', 'value': '0.00486', 'val_loss': 0.004541365832918644, 'val_self': '0.00000', 'val_value': '0.00454', 'lr': '0.00040', 'step': 78000}
{'epoch': 27, 'train_loss': 0.004799869116628543, 'self': '0.00000', 'value': '0.00480', 'val_loss': 0.004413454147383998, 'val_self': '0.00000', 'val_value': '0.00441', 'lr': '0.00040', 'step': 81000}
{'epoch': 28, 'train_loss': 0.0046711878567778815, 'self': '0.00000', 'value': '0.00467', 'val_loss': 0.004361081309711988, 'val_self': '0.00000', 'val_value': '0.00436', 'lr': '0.00040', 'step': 84000}
{'epoch': 29, 'train_loss': 0.004594835652193675, 'self': '0.00000', 'value': '0.00459', 'val_loss': 0.004341026872098751, 'val_self': '0.00000', 'val_value': '0.00434', 'lr': '0.00040', 'step': 87000}
{'epoch': 30, 'train_loss': 0.0046500240844519185, 'self': '0.00000', 'value': '0.00465', 'val_loss': 0.005301419952807978, 'val_self': '0.00000', 'val_value': '0.00530', 'lr': '0.00040', 'step': 90000}
{'epoch': 31, 'train_loss': 0.004460797821404412, 'self': '0.00000', 'value': '0.00446', 'val_loss': 0.0042064409725917655, 'val_self': '0.00000', 'val_value': '0.00421', 'lr': '0.00040', 'step': 93000}
{'epoch': 32, 'train_loss': 0.004448233951814473, 'self': '0.00000', 'value': '0.00445', 'val_loss': 0.004147652650660393, 'val_self': '0.00000', 'val_value': '0.00415', 'lr': '0.00040', 'step': 96000}
{'epoch': 33, 'train_loss': 0.004439147876265148, 'self': '0.00000', 'value': '0.00444', 'val_loss': 0.00410968409116441, 'val_self': '0.00000', 'val_value': '0.00411', 'lr': '0.00040', 'step': 99000}
{'epoch': 34, 'train_loss': 0.004309512108409156, 'self': '0.00000', 'value': '0.00431', 'val_loss': 0.004204719422812589, 'val_self': '0.00000', 'val_value': '0.00420', 'lr': '0.00040', 'step': 102000}
{'epoch': 35, 'train_loss': 0.004294519073873138, 'self': '0.00000', 'value': '0.00429', 'val_loss': 0.004009315769806443, 'val_self': '0.00000', 'val_value': '0.00401', 'lr': '0.00040', 'step': 105000}
{'epoch': 36, 'train_loss': 0.004380173453362658, 'self': '0.00000', 'value': '0.00438', 'val_loss': 0.004084522375020153, 'val_self': '0.00000', 'val_value': '0.00408', 'lr': '0.00040', 'step': 108000}
{'epoch': 37, 'train_loss': 0.0041893867494072765, 'self': '0.00000', 'value': '0.00419', 'val_loss': 0.0040311044063915304, 'val_self': '0.00000', 'val_value': '0.00403', 'lr': '0.00040', 'step': 111000}
{'epoch': 38, 'train_loss': 0.00415114772428448, 'self': '0.00000', 'value': '0.00415', 'val_loss': 0.00402069638805754, 'val_self': '0.00000', 'val_value': '0.00402', 'lr': '0.00040', 'step': 114000}
{'epoch': 39, 'train_loss': 0.004124009127883861, 'self': '0.00000', 'value': '0.00412', 'val_loss': 0.003880490911990923, 'val_self': '0.00000', 'val_value': '0.00388', 'lr': '0.00040', 'step': 117000}
{'epoch': 40, 'train_loss': 0.004220151667327931, 'self': '0.00000', 'value': '0.00422', 'val_loss': 0.0038005206218661098, 'val_self': '0.00000', 'val_value': '0.00380', 'lr': '0.00040', 'step': 120000}
{'epoch': 41, 'train_loss': 0.004031269110040739, 'self': '0.00000', 'value': '0.00403', 'val_loss': 0.0037492155393234407, 'val_self': '0.00000', 'val_value': '0.00375', 'lr': '0.00040', 'step': 123000}
{'epoch': 42, 'train_loss': 0.004007447806109364, 'self': '0.00000', 'value': '0.00401', 'val_loss': 0.003761873533281299, 'val_self': '0.00000', 'val_value': '0.00376', 'lr': '0.00040', 'step': 126000}
{'epoch': 43, 'train_loss': 0.003972697464904438, 'self': '0.00000', 'value': '0.00397', 'val_loss': 0.003873765505335034, 'val_self': '0.00000', 'val_value': '0.00387', 'lr': '0.00040', 'step': 129000}
{'epoch': 44, 'train_loss': 0.0039377434120203055, 'self': '0.00000', 'value': '0.00394', 'val_loss': 0.0037163265686879147, 'val_self': '0.00000', 'val_value': '0.00372', 'lr': '0.00040', 'step': 132000}
