Total number of parameters: 5,336,608
{'epoch': 1, 'train_loss': 0.027470348165060082, 'self': '0.00299', 'value': '0.02448', 'val_loss': 0.01815278584244432, 'val_self': '0.00002', 'val_value': '0.01813', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.016968477859472236, 'self': '0.00001', 'value': '0.01696', 'val_loss': 0.015848764676417482, 'val_self': '0.00001', 'val_value': '0.01584', 'lr': '0.00039', 'step': 6000}
{'epoch': 3, 'train_loss': 0.015716917446504036, 'self': '0.00001', 'value': '0.01571', 'val_loss': 0.01790056521355434, 'val_self': '0.00001', 'val_value': '0.01789', 'lr': '0.00039', 'step': 9000}
{'epoch': 4, 'train_loss': 0.015592370273545384, 'self': '0.00000', 'value': '0.01559', 'val_loss': 0.012292485239488057, 'val_self': '0.00000', 'val_value': '0.01229', 'lr': '0.00039', 'step': 12000}
{'epoch': 5, 'train_loss': 0.011652033620824417, 'self': '0.00000', 'value': '0.01165', 'val_loss': 0.010738314820270314, 'val_self': '0.00000', 'val_value': '0.01074', 'lr': '0.00039', 'step': 15000}
{'epoch': 6, 'train_loss': 0.010652488810320696, 'self': '0.00000', 'value': '0.01065', 'val_loss': 0.010009837197521548, 'val_self': '0.00000', 'val_value': '0.01001', 'lr': '0.00038', 'step': 18000}
{'epoch': 7, 'train_loss': 0.011411395218068113, 'self': '0.00000', 'value': '0.01141', 'val_loss': 0.009094711319642661, 'val_self': '0.00000', 'val_value': '0.00909', 'lr': '0.00038', 'step': 21000}
{'epoch': 8, 'train_loss': 0.008358249154717973, 'self': '0.00000', 'value': '0.00836', 'val_loss': 0.007909942793346881, 'val_self': '0.00000', 'val_value': '0.00791', 'lr': '0.00038', 'step': 24000}
{'epoch': 9, 'train_loss': 0.007767347724642605, 'self': '0.00000', 'value': '0.00777', 'val_loss': 0.00769812128025672, 'val_self': '0.00000', 'val_value': '0.00770', 'lr': '0.00037', 'step': 27000}
{'epoch': 10, 'train_loss': 0.007843937544462581, 'self': '0.00000', 'value': '0.00784', 'val_loss': 0.007525628841039343, 'val_self': '0.00000', 'val_value': '0.00753', 'lr': '0.00037', 'step': 30000}
{'epoch': 11, 'train_loss': 0.007859115203376859, 'self': '0.00000', 'value': '0.00786', 'val_loss': 0.006783039633520558, 'val_self': '0.00000', 'val_value': '0.00678', 'lr': '0.00037', 'step': 33000}
{'epoch': 12, 'train_loss': 0.0064284729543142025, 'self': '0.00000', 'value': '0.00643', 'val_loss': 0.006130904729333019, 'val_self': '0.00000', 'val_value': '0.00613', 'lr': '0.00036', 'step': 36000}
{'epoch': 13, 'train_loss': 0.006189313530921936, 'self': '0.00000', 'value': '0.00619', 'val_loss': 0.00594523059563009, 'val_self': '0.00000', 'val_value': '0.00594', 'lr': '0.00036', 'step': 39000}
{'epoch': 14, 'train_loss': 0.007060449234365176, 'self': '0.00000', 'value': '0.00706', 'val_loss': 0.005788728069956796, 'val_self': '0.00000', 'val_value': '0.00579', 'lr': '0.00036', 'step': 42000}
{'epoch': 15, 'train_loss': 0.005645040243708839, 'self': '0.00000', 'value': '0.00564', 'val_loss': 0.005385584636881459, 'val_self': '0.00000', 'val_value': '0.00539', 'lr': '0.00036', 'step': 45000}
{'epoch': 16, 'train_loss': 0.00549077074866121, 'self': '0.00000', 'value': '0.00549', 'val_loss': 0.00540320113965417, 'val_self': '0.00000', 'val_value': '0.00540', 'lr': '0.00035', 'step': 48000}
{'epoch': 17, 'train_loss': 0.005840776648527632, 'self': '0.00000', 'value': '0.00584', 'val_loss': 0.005936408727467976, 'val_self': '0.00000', 'val_value': '0.00594', 'lr': '0.00035', 'step': 51000}
{'epoch': 18, 'train_loss': 0.0058014474144826335, 'self': '0.00000', 'value': '0.00580', 'val_loss': 0.0052152016633342894, 'val_self': '0.00000', 'val_value': '0.00522', 'lr': '0.00035', 'step': 54000}
{'epoch': 19, 'train_loss': 0.005043640074009696, 'self': '0.00000', 'value': '0.00504', 'val_loss': 0.00511470340720958, 'val_self': '0.00000', 'val_value': '0.00511', 'lr': '0.00034', 'step': 57000}
